rin	I(R19)-I(R20)	V(vout1)	V(voutf)
1.295000000000000e+02	9.537261e-04	1.235216e-01	2.676497e+00
1.300000000000000e+02	9.536353e-04	1.239866e-01	2.686543e+00
1.305000000000000e+02	9.535445e-04	1.244516e-01	2.696587e+00
1.310000000000000e+02	9.534538e-04	1.249165e-01	2.706630e+00
1.315000000000000e+02	9.533630e-04	1.253813e-01	2.716670e+00
1.320000000000000e+02	9.532723e-04	1.258460e-01	2.726709e+00
1.325000000000000e+02	9.531816e-04	1.263106e-01	2.736746e+00
1.330000000000000e+02	9.530909e-04	1.267751e-01	2.746780e+00
1.335000000000000e+02	9.530002e-04	1.272395e-01	2.756813e+00
1.340000000000000e+02	9.529095e-04	1.277039e-01	2.766844e+00
1.345000000000000e+02	9.528189e-04	1.281682e-01	2.776873e+00
1.350000000000000e+02	9.527283e-04	1.286323e-01	2.786901e+00
1.355000000000000e+02	9.526376e-04	1.290964e-01	2.796926e+00
1.360000000000000e+02	9.525471e-04	1.295604e-01	2.806949e+00
1.365000000000000e+02	9.524565e-04	1.300243e-01	2.816971e+00
1.370000000000000e+02	9.523659e-04	1.304881e-01	2.826990e+00
1.375000000000000e+02	9.522753e-04	1.309519e-01	2.837008e+00
1.380000000000000e+02	9.521848e-04	1.314155e-01	2.847023e+00
